id,n_out_of_range_features,has_out_of_range,pct_features_out_of_range
87309e0e3ffffff,0,False,0.0
87309e0e4ffffff,4,True,0.03508771929824561
87309e0e5ffffff,5,True,0.043859649122807015
87309e0e6ffffff,3,True,0.02631578947368421
87309e0e8ffffff,0,False,0.0
87309e0e9ffffff,1,True,0.008771929824561403
87309e0eaffffff,0,False,0.0
87309e0ebffffff,0,False,0.0
87309e0ecffffff,4,True,0.03508771929824561
87309e0edffffff,1,True,0.008771929824561403
87309e0eeffffff,1,True,0.008771929824561403
87309e0f4ffffff,5,True,0.043859649122807015
87309e0f5ffffff,4,True,0.03508771929824561
87309e0f6ffffff,2,True,0.017543859649122806
87309e100ffffff,6,True,0.05263157894736842
87309e101ffffff,2,True,0.017543859649122806
87309e102ffffff,0,False,0.0
87309e103ffffff,0,False,0.0
87309e104ffffff,0,False,0.0
87309e105ffffff,1,True,0.008771929824561403
87309e106ffffff,5,True,0.043859649122807015
87309e108ffffff,4,True,0.03508771929824561
87309e109ffffff,1,True,0.008771929824561403
87309e10affffff,3,True,0.02631578947368421
87309e10bffffff,1,True,0.008771929824561403
87309e10cffffff,2,True,0.017543859649122806
87309e10dffffff,12,True,0.10526315789473684
87309e10effffff,0,False,0.0
87309e110ffffff,0,False,0.0
87309e111ffffff,4,True,0.03508771929824561
87309e112ffffff,1,True,0.008771929824561403
87309e113ffffff,0,False,0.0
87309e114ffffff,0,False,0.0
87309e115ffffff,0,False,0.0
87309e116ffffff,1,True,0.008771929824561403
87309e118ffffff,1,True,0.008771929824561403
87309e119ffffff,7,True,0.06140350877192982
87309e11affffff,2,True,0.017543859649122806
87309e11bffffff,0,False,0.0
87309e11cffffff,2,True,0.017543859649122806
87309e11dffffff,1,True,0.008771929824561403
87309e11effffff,1,True,0.008771929824561403
87309e121ffffff,0,False,0.0
87309e122ffffff,0,False,0.0
87309e123ffffff,3,True,0.02631578947368421
87309e128ffffff,2,True,0.017543859649122806
87309e129ffffff,0,False,0.0
87309e12affffff,2,True,0.017543859649122806
87309e12bffffff,2,True,0.017543859649122806
87309e12cffffff,3,True,0.02631578947368421
87309e12dffffff,1,True,0.008771929824561403
87309e12effffff,5,True,0.043859649122807015
87309e131ffffff,2,True,0.017543859649122806
87309e133ffffff,1,True,0.008771929824561403
87309e140ffffff,0,False,0.0
87309e141ffffff,4,True,0.03508771929824561
87309e142ffffff,4,True,0.03508771929824561
87309e143ffffff,11,True,0.09649122807017543
87309e144ffffff,3,True,0.02631578947368421
87309e145ffffff,4,True,0.03508771929824561
87309e146ffffff,0,False,0.0
87309e148ffffff,15,True,0.13157894736842105
87309e149ffffff,29,True,0.2543859649122807
87309e14affffff,18,True,0.15789473684210525
87309e14bffffff,30,True,0.2631578947368421
87309e14cffffff,11,True,0.09649122807017543
87309e14dffffff,16,True,0.14035087719298245
87309e14effffff,2,True,0.017543859649122806
87309e150ffffff,5,True,0.043859649122807015
87309e151ffffff,3,True,0.02631578947368421
87309e152ffffff,5,True,0.043859649122807015
87309e153ffffff,0,False,0.0
87309e154ffffff,2,True,0.017543859649122806
87309e155ffffff,4,True,0.03508771929824561
87309e156ffffff,2,True,0.017543859649122806
87309e158ffffff,2,True,0.017543859649122806
87309e159ffffff,8,True,0.07017543859649122
87309e15affffff,0,False,0.0
87309e15bffffff,2,True,0.017543859649122806
87309e15cffffff,6,True,0.05263157894736842
87309e15dffffff,5,True,0.043859649122807015
87309e15effffff,3,True,0.02631578947368421
87309e160ffffff,1,True,0.008771929824561403
87309e161ffffff,1,True,0.008771929824561403
87309e162ffffff,3,True,0.02631578947368421
87309e163ffffff,1,True,0.008771929824561403
87309e164ffffff,3,True,0.02631578947368421
87309e165ffffff,1,True,0.008771929824561403
87309e166ffffff,5,True,0.043859649122807015
87309e168ffffff,1,True,0.008771929824561403
87309e169ffffff,1,True,0.008771929824561403
87309e16affffff,5,True,0.043859649122807015
87309e16bffffff,7,True,0.06140350877192982
87309e16cffffff,9,True,0.07894736842105263
87309e16dffffff,3,True,0.02631578947368421
87309e16effffff,5,True,0.043859649122807015
87309e170ffffff,3,True,0.02631578947368421
87309e171ffffff,6,True,0.05263157894736842
87309e172ffffff,12,True,0.10526315789473684
87309e173ffffff,3,True,0.02631578947368421
87309e174ffffff,0,False,0.0
87309e175ffffff,2,True,0.017543859649122806
87309e176ffffff,8,True,0.07017543859649122
87309e180ffffff,2,True,0.017543859649122806
87309e181ffffff,3,True,0.02631578947368421
87309e182ffffff,0,False,0.0
87309e183ffffff,2,True,0.017543859649122806
87309e185ffffff,1,True,0.008771929824561403
87309e188ffffff,1,True,0.008771929824561403
87309e189ffffff,6,True,0.05263157894736842
87309e18affffff,3,True,0.02631578947368421
87309e18bffffff,1,True,0.008771929824561403
87309e18cffffff,2,True,0.017543859649122806
87309e18dffffff,1,True,0.008771929824561403
87309e18effffff,2,True,0.017543859649122806
87309e198ffffff,0,False,0.0
87309e199ffffff,0,False,0.0
87309e19bffffff,5,True,0.043859649122807015
87309e19cffffff,0,False,0.0
87309e19dffffff,0,False,0.0
87309e1a1ffffff,0,False,0.0
87309e1a3ffffff,1,True,0.008771929824561403
87309e1a8ffffff,0,False,0.0
87309e1a9ffffff,1,True,0.008771929824561403
87309e1aaffffff,5,True,0.043859649122807015
87309e1abffffff,8,True,0.07017543859649122
87309e1acffffff,6,True,0.05263157894736842
87309e1adffffff,0,False,0.0
87309e1aeffffff,5,True,0.043859649122807015
87309e300ffffff,0,False,0.0
87309e301ffffff,0,False,0.0
87309e302ffffff,0,False,0.0
87309e303ffffff,0,False,0.0
87309e304ffffff,0,False,0.0
87309e305ffffff,0,False,0.0
87309e306ffffff,0,False,0.0
87309e308ffffff,0,False,0.0
87309e309ffffff,0,False,0.0
87309e30affffff,0,False,0.0
87309e30cffffff,0,False,0.0
87309e30dffffff,0,False,0.0
87309e30effffff,0,False,0.0
87309e310ffffff,0,False,0.0
87309e311ffffff,0,False,0.0
87309e312ffffff,0,False,0.0
87309e313ffffff,0,False,0.0
87309e314ffffff,0,False,0.0
87309e315ffffff,0,False,0.0
87309e316ffffff,0,False,0.0
87309e318ffffff,0,False,0.0
87309e31cffffff,0,False,0.0
87309e31dffffff,0,False,0.0
87309e31effffff,0,False,0.0
87309e320ffffff,0,False,0.0
87309e321ffffff,0,False,0.0
87309e322ffffff,0,False,0.0
87309e323ffffff,0,False,0.0
87309e324ffffff,4,True,0.03508771929824561
87309e325ffffff,0,False,0.0
87309e326ffffff,5,True,0.043859649122807015
87309e328ffffff,0,False,0.0
87309e329ffffff,0,False,0.0
87309e32affffff,0,False,0.0
87309e32bffffff,0,False,0.0
87309e32cffffff,0,False,0.0
87309e32dffffff,0,False,0.0
87309e32effffff,0,False,0.0
87309e330ffffff,0,False,0.0
87309e331ffffff,0,False,0.0
87309e332ffffff,0,False,0.0
87309e333ffffff,0,False,0.0
87309e334ffffff,12,True,0.10526315789473684
87309e335ffffff,0,False,0.0
87309e336ffffff,5,True,0.043859649122807015
87309e370ffffff,0,False,0.0
87309e371ffffff,0,False,0.0
87309e372ffffff,0,False,0.0
87309e373ffffff,0,False,0.0
87309e374ffffff,0,False,0.0
87309e375ffffff,0,False,0.0
87309e376ffffff,0,False,0.0
87309e3a0ffffff,1,True,0.008771929824561403
87309e3a1ffffff,0,False,0.0
87309e3a2ffffff,6,True,0.05263157894736842
87309e3a3ffffff,0,False,0.0
87309e3a4ffffff,0,False,0.0
87309e3a5ffffff,0,False,0.0
87309e3a6ffffff,6,True,0.05263157894736842
87309e3acffffff,0,False,0.0
87309e3b0ffffff,0,False,0.0
87309e3b1ffffff,0,False,0.0
87309e3b4ffffff,2,True,0.017543859649122806
87309e3b5ffffff,2,True,0.017543859649122806
87309e3b6ffffff,0,False,0.0
87309e56bffffff,0,False,0.0
87309e850ffffff,1,True,0.008771929824561403
87309e851ffffff,4,True,0.03508771929824561
87309e852ffffff,0,False,0.0
87309e853ffffff,3,True,0.02631578947368421
87309e855ffffff,1,True,0.008771929824561403
87309e85affffff,1,True,0.008771929824561403
87309e85effffff,3,True,0.02631578947368421
87309e8c0ffffff,2,True,0.017543859649122806
87309e8c1ffffff,2,True,0.017543859649122806
87309e8c2ffffff,3,True,0.02631578947368421
