model,local_deviation_quantile,threshold,n_high_deviation_grids,pct_high_deviation_grids_with_any_out_of_range,pct_other_grids_with_any_out_of_range,mean_n_out_features_high_deviation_grids,mean_n_out_features_other_grids
XGB,0.9,4.145099663333333,52,0.9423076923076923,0.6551724137931034,7.211538461538462,3.206896551724138
XGB,0.95,5.061724092083333,26,0.9615384615384616,0.6693877551020408,8.115384615384615,3.3714285714285714
MLP,0.9,75.25614088333334,52,1.0,0.6487068965517241,13.961538461538462,2.4504310344827585
MLP,0.95,123.99382050916667,26,1.0,0.6673469387755102,17.96153846153846,2.8489795918367347
SVR,0.9,29.53192860419863,52,1.0,0.6487068965517241,13.403846153846153,2.5129310344827585
SVR,0.95,52.62089104578957,26,1.0,0.6673469387755102,17.076923076923077,2.8959183673469386
