model,local_deviation_quantile,normalized_threshold,n_high_deviation_grids,pct_high_deviation_grids_with_any_out_of_range,pct_other_grids_with_any_out_of_range,mean_n_out_features_high_deviation_grids,mean_n_out_features_other_grids
XGB,0.9,0.315778392309654,52,0.9423076923076923,0.6551724137931034,7.211538461538462,3.206896551724138
XGB,0.95,0.38560788061432477,26,0.9615384615384616,0.6693877551020408,8.115384615384615,3.3714285714285714
MLP,0.9,0.07916096443924522,52,1.0,0.6487068965517241,13.961538461538462,2.4504310344827585
MLP,0.95,0.13042750134143655,26,1.0,0.6673469387755102,17.96153846153846,2.8489795918367347
SVR,0.9,0.06373537168459602,52,1.0,0.6487068965517241,13.403846153846153,2.5129310344827585
SVR,0.95,0.11356562905618055,26,1.0,0.6673469387755102,17.076923076923077,2.8959183673469386
