id,pop,geometry
87309e000ffffff,863.6367797851562,"POLYGON ((119.6978298323664 31.265919198810078, 119.69547259240588 31.27726265513572, 119.68331236232518 31.28256283166886, 119.67350883948785 31.27651888129487, 119.67586779355725 31.265174030073602, 119.68802855631412 31.259874524074384, 119.6978298323664 31.265919198810078))"
87309e001ffffff,799.9654541015625,"POLYGON ((119.7197854290453 31.26666040427787, 119.71742990298196 31.278002464814556, 119.7052737515944 31.28330392558845, 119.69547259240588 31.27726265513572, 119.6978298323664 31.265919198810078, 119.70998651757688 31.260618408678788, 119.7197854290453 31.26666040427787))"
87309e002ffffff,661.7808837890625,"POLYGON ((119.69038621260309 31.248528334485155, 119.68802855631412 31.259874524074384, 119.67586779355725 31.265174030073602, 119.66606415483571 31.259126675027847, 119.66842352506555 31.24777909004553, 119.6805848200352 31.242480255454552, 119.69038621260309 31.248528334485155))"
87309e003ffffff,645.6145629882812,"POLYGON ((119.71234246013611 31.249273615376637, 119.70998651757688 31.260618408678788, 119.6978298323664 31.265919198810078, 119.68802855631412 31.259874524074384, 119.69038621260309 31.248528334485155, 119.70254343117335 31.243228215871447, 119.71234246013611 31.249273615376637))"
87309e004ffffff,2022.8577880859375,"POLYGON ((119.68331236232518 31.28256283166886, 119.68095382453133 31.29390494826697, 119.66879004945346 31.29920450804241, 119.65898428013719 31.29316128162088, 119.6613445324185 31.28181777151933, 119.67350883948785 31.27651888129487, 119.68331236232518 31.28256283166886))"
87309e005ffffff,365.5543212890625,"POLYGON ((119.7052737515944 31.28330392558845, 119.70291692807727 31.29464464778926, 119.69075723113608 31.299945493982303, 119.68095382453133 31.29390494826697, 119.68331236232518 31.28256283166886, 119.69547259240588 31.27726265513572, 119.7052737515944 31.28330392558845))"
87309e006ffffff,827.2638549804688,"POLYGON ((119.67586779355725 31.265174030073602, 119.67350883948785 31.27651888129487, 119.6613445324185 31.28181777151933, 119.6515386478501 31.27577114005034, 119.65389931623852 31.26442489482796, 119.66606415483571 31.259126675027847, 119.67586779355725 31.265174030073602))"
87309e008ffffff,48.77572250366211,"POLYGON ((119.75623562074423 31.250752299474158, 119.75388310500493 31.262094297524925, 119.74173457998292 31.267397649718845, 119.73193803500894 31.261358332081652, 119.7342922640511 31.250014935959378, 119.74644132472237 31.244712255499035, 119.75623562074423 31.250752299474158))"
87309e009ffffff,381.6248474121094,"POLYGON ((119.7781725266213 31.25148570916304, 119.7758217239691 31.26282630825193, 119.76367728157793 31.268130938376235, 119.75388310500493 31.262094297524925, 119.75623562074423 31.250752299474158, 119.76838059992706 31.245448341190052, 119.7781725266213 31.25148570916304))"
87309e00affffff,8.866986274719238,"POLYGON ((119.74879425717624 31.233367526542644, 119.74644132472237 31.244712255499035, 119.7342922640511 31.250014935959378, 119.72449560060508 31.243972214806448, 119.72685024619528 31.23262608727996, 119.73899984205332 31.227324079429795, 119.74879425717624 31.233367526542644))"
87309e00bffffff,417.6257019042969,"POLYGON ((119.77073181945971 31.234105011694798, 119.76838059992706 31.245448341190052, 119.75623562074423 31.250752299474158, 119.74644132472237 31.244712255499035, 119.74879425717624 31.233367526542644, 119.76093977268846 31.22806424097604, 119.77073181945971 31.234105011694798))"
87309e00cffffff,422.2903137207031,"POLYGON ((119.74173457998292 31.267397649718845, 119.7393807676035 31.278738313574465, 119.72722869660798 31.28404105652104, 119.71742990298196 31.278002464814556, 119.7197854290453 31.26666040427787, 119.73193803500894 31.261358332081652, 119.74173457998292 31.267397649718845))"
87309e00dffffff,15.68537425994873,"POLYGON ((119.76367728157793 31.268130938376235, 119.76132518266768 31.279470204659837, 119.74917719375745 31.28477422771099, 119.7393807676035 31.278738313574465, 119.74173457998292 31.267397649718845, 119.75388310500493 31.262094297524925, 119.76367728157793 31.268130938376235))"
87309e00effffff,282.291015625,"POLYGON ((119.7342922640511 31.250014935959378, 119.73193803500894 31.261358332081652, 119.7197854290453 31.26666040427787, 119.70998651757688 31.260618408678788, 119.71234246013611 31.249273615376637, 119.72449560060508 31.243972214806448, 119.7342922640511 31.250014935959378))"
87309e010ffffff,435.9410705566406,"POLYGON ((119.66097955708318 31.230378012439306, 119.65861977080812 31.24172833031763, 119.64645440114671 31.247025878819766, 119.63664828711947 31.240972437224045, 119.6390097873762 31.22962072435187, 119.65117568763816 31.224323848021612, 119.66097955708318 31.230378012439306))"
87309e011ffffff,467.81866455078125,"POLYGON ((119.68294289253755 31.23113133346589, 119.6805848200352 31.242480255454552, 119.66842352506555 31.24777909004553, 119.65861977080812 31.24172833031763, 119.66097955708318 31.230378012439306, 119.67314138380223 31.22507985013112, 119.68294289253755 31.23113133346589))"
87309e012ffffff,2173.797119140625,"POLYGON ((119.65353588984324 31.212970798115283, 119.65117568763816 31.224323848021612, 119.6390097873762 31.22962072435187, 119.6292035591422 31.223563877682242, 119.63156547516006 31.212209432287047, 119.64373190555894 31.206913229002772, 119.65353588984324 31.212970798115283))"
87309e013ffffff,249.00906372070312,"POLYGON ((119.67549987240297 31.213728196610194, 119.67314138380223 31.22507985013112, 119.66097955708318 31.230378012439306, 119.65117568763816 31.224323848021612, 119.65353588984324 31.212970798115283, 119.66569824784838 31.207673308964708, 119.67549987240297 31.213728196610194))"
87309e014ffffff,7179.0537109375,"POLYGON ((119.64645440114671 31.247025878819766, 119.64409331676644 31.258374858300005, 119.63192440404057 31.263671789834042, 119.62211604574078 31.257619070653035, 119.62447884447951 31.246268697571267, 119.63664828711947 31.240972437224045, 119.64645440114671 31.247025878819766))"
87309e015ffffff,1084.6771240234375,"POLYGON ((119.66842352506555 31.24777909004553, 119.66606415483571 31.259126675027847, 119.65389931623852 31.26442489482796, 119.64409331676644 31.258374858300005, 119.64645440114671 31.247025878819766, 119.65861977080812 31.24172833031763, 119.66842352506555 31.24777909004553))"
87309e016ffffff,1165.7054443359375,"POLYGON ((119.6390097873762 31.22962072435187, 119.63664828711947 31.240972437224045, 119.62447884447951 31.246268697571267, 119.61467037260621 31.24021257293841, 119.61703358705209 31.228859465969457, 119.6292035591422 31.223563877682242, 119.6390097873762 31.22962072435187))"
87309e018ffffff,269.8810119628906,"POLYGON ((119.71940852664865 31.215231104533583, 119.71705346462508 31.22657996259891, 119.70489979011361 31.231880690667143, 119.69510064400458 31.225831887245015, 119.69745741921095 31.21448163100482, 119.70961162730217 31.20918157631475, 119.71940852664865 31.215231104533583))"
87309e019ffffff,120.16445922851562,"POLYGON ((119.74135319110712 31.21597662043228, 119.73899984205332 31.227324079429795, 119.72685024619528 31.23262608727996, 119.71705346462508 31.22657996259891, 119.71940852664865 31.215231104533583, 119.73155865723089 31.209929770170493, 119.74135319110712 31.21597662043228))"
87309e01affffff,17.23281478881836,"POLYGON ((119.71196710564429 31.197829988578942, 119.70961162730217 31.20918157631475, 119.69745741921095 31.21448163100482, 119.68765815630368 31.208429423657673, 119.69001534766123 31.197076437250804, 119.7021700888694 31.191777056815358, 119.71196710564429 31.197829988578942))"
