id,place_of_worship,grave_yard,school,post_office,childcare,university,courthouse,fire_station,library,police,public_building,cinema,toilets,bar,college,restaurant,fountain,fast_food,cafe,ice_cream,dentist,recycling,dojo,pharmacy,atm,clock,parking_entrance,bicycle_parking,car_rental,pub,veterinary,post_box,fuel,clinic,bench,bank,parking,social_facility,marketplace,sanitary_dump_station,telephone,nightclub,drinking_water,shower,bicycle_rental,charging_station,loading_dock,theatre,shelter,community_centre,car_wash,bicycle_repair_station,compressed_air,letter_box,bbq,doctors,planetarium,training,animal_boarding,internet_cafe,prep_school,gambling,driving_school,events_venue,waste_basket,parking_space,waste_disposal,weighbridge,public_bookcase,vending_machine,hospital,stage,ranger_station,animal_shelter,exhibition_centre,arts_centre,kindergarten,bus_station,townhall,prison,studio,payment_centre,house,bunker,office,commercial,residential,public,roof,dormitory,chapel,greenhouse,apartments,garage,shed,retail,static_caravan,church,terrace,service,industrial,pavilion,commercial;yes,stadium,hotel,cabin,warehouse,sports_centre,detached,boathouse,barn,riding_hall,construction,ship,ruins,ohca
872af6274ffffff,5,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,2,3,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,0,0,27,31,0,0,0,0,0,221,130,147,4,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45
872af6275ffffff,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222,0,0,14,20,0,0,0,0,0,150,41,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
872af6276ffffff,8,0,5,0,1,11,0,0,0,1,0,0,0,0,0,4,6,8,2,0,1,0,0,2,1,0,0,10,0,0,0,0,1,1,0,2,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1476,0,0,48,8,0,0,4,0,0,167,39,78,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
872af6308ffffff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
872af6309ffffff,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,63,168,0,2,0,0,0,296,134,158,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
872af630affffff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872af630bffffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,0,0,40,15,0,0,0,0,0,78,178,172,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
872af630dffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,6,34,0,0,0,0,0,207,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
872af6340ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,0,24,0,0,0,0,0,79,133,106,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
872af6341ffffff,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,9,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,99,29,0,1,0,0,0,284,129,107,0,59,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,31
872af6342ffffff,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,0,0,4,14,0,0,0,0,0,57,123,198,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
872af6343ffffff,8,0,5,0,0,0,0,0,0,0,0,0,0,1,0,8,1,6,1,0,0,0,0,1,1,0,0,0,2,1,0,0,5,1,0,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,131,25,0,0,0,0,0,140,192,201,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
872af6344ffffff,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,8,0,1,0,0,0,0,115,79,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
872af6345ffffff,5,2,4,0,0,0,0,3,1,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,0,0,24,22,0,0,0,0,0,268,103,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
872af6346ffffff,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,0,0,0,20,0,0,0,0,0,38,82,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
872af6348ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
872af6349ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,14,0,23,4,0,0,0,0,0,0,16,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
